Generated by /user/home/ig13470/wholecell3/wcm2024/wcEcoli/runscripts/reflect/model_inspection.py on Wed Nov 13 18:20:06 2024
All regulation has 1922 total regulatory interactions (1057 positive, 865 negative) with 1354 genes regulated (302 positive and negative, 585 positive, 467 negative) from 31 regulators
TF regulation has 1486 total regulatory interactions (866 positive, 620 negative) with 1082 genes regulated (224 positive and negative, 513 positive, 345 negative) from 23 regulators
ppGpp regulation has 393 total regulatory interactions (191 positive, 202 negative) with 393 genes regulated (0 positive and negative, 191 positive, 202 negative) from 1 regulators
Transcription attenuation has 43 total regulatory interactions (0 positive, 43 negative) with 31 genes regulated (0 positive and negative, 0 positive, 31 negative) from 7 regulators
Cistron	Symbol	All regulation	TF regulation	ppGpp regulation	Transcription attenuation
EG12424_RNA	prmC	+	+	None	None
EG12427_RNA	modA	both	both	None	None
EG12431_RNA	puuR	-	-	None	None
EG12439_RNA	yjfF	-	-	None	None
EG12440_RNA	mpl	+	+	None	None
EG12444_RNA	ycfJ	-	-	None	None
EG12450_RNA	norW	both	both	None	None
EG12494_RNA	ulaB	+	+	None	None
EG12495_RNA	ulaC	both	both	None	None
EG12517_RNA	ytfQ	-	-	None	None
EG12518_RNA	ytfR	-	-	None	None
EG12520_RNA	ytfT	-	-	None	None
EG12522_RNA	garD	+	+	None	None
EG12539_RNA	idnT	+	+	None	None
EG12554_RNA	sgcA	+	+	None	None
EG12556_RNA	sgcC	+	+	None	None
EG12557_RNA	sgcX	+	+	None	None
EG12563_RNA	gntP	+	+	None	None
EG12605_RNA	yacL	-	-	None	None
EG12608_RNA	caiE	both	both	None	None
EG12625_RNA	dppB	+	+	None	None
EG12626_RNA	dppC	+	+	None	None
EG12627_RNA	dppD	+	+	None	None
EG12628_RNA	dppF	+	+	None	None
EG12629_RNA	gntK	+	+	None	None
EG12634_RNA	cas3	+	+	None	None
EG12688_RNA	grxB	+	None	+	None
EG12703_RNA	yccJ	+	None	+	None
EG12734_RNA	uxaA	+	+	None	None
EG12738_RNA	exuT	+	+	None	None
EG12760_RNA	garP	-	-	None	None
EG12845_RNA	cas2	both	both	None	None
EG12851_RNA	ybeL	+	None	+	None
EG12933_RNA	feoC	+	+	None	None
EG13283_RNA	emrY	+	+	None	None
EG20044_RNA	dctA	both	both	None	None
EG20049_RNA	dgoA	+	+	None	None
EG20051_RNA	dgoK	+	+	None	None
EG20053_RNA	dgoT	+	+	None	None
EG20080_RNA	glcB	both	both	None	None
EG20091_RNA	gpsA	+	+	None	None
EG20098_RNA	hpt	both	both	None	None
EG20248_RNA	uxuB	+	+	None	None
EG20249_RNA	uxuR	+	+	None	None
EG20252_RNA	xylF	both	both	None	None
EG20253_RNA	xylR	both	both	None	None
EG50001_RNA	rplU	-	None	-	None
EG50002_RNA	rpmA	-	None	-	None
EG50003_RNA	acpP	+	+	None	None
EG50004_RNA	rmf	both	both	+	None
EG50009_RNA	gadA	both	-	+	None
G0-10617_RNA	sgrT	+	None	+	None
G0-10641_RNA	ilvX	+	None	+	None
G0-16685_RNA	idlP	+	None	+	None
G0-16686_RNA	ytiC	+	None	+	None
G0-16687_RNA	ytiD	+	None	+	None
G0-8601_RNA	glcF	+	+	None	None
G0-8895_RNA	tff	-	None	-	None
G0-9381_RNA	sroA	+	None	+	None
G0-9562_RNA	ecnB	+	None	+	None
G36_RNA	fadH	+	+	None	None
G436_RNA	nanT	+	+	None	None
G592_RNA	ldhA	-	-	None	None
G6081_RNA	yaaX	-	-	None	None
G6088_RNA	caiF	both	both	None	None
G6098_RNA	yaeQ	-	-	None	None
G6110_RNA	dinJ	-	-	None	None
G6115_RNA	dinB	-	-	None	None
G6116_RNA	yafN	-	-	None	None
G6118_RNA	yafP	-	-	None	None
G6158_RNA	yagU	-	-	None	None
G6176_RNA	ykgE	-	-	None	None
G6193_RNA	yahN	+	+	None	None
G6194_RNA	yahO	+	None	+	None
G6195_RNA	prpR	+	+	None	None
G6196_RNA	prpB	+	+	None	None
G6198_RNA	prpC	+	+	None	None
G6199_RNA	prpD	+	+	None	None
G6200_RNA	prpE	+	+	None	None
G6201_RNA	mhpR	+	+	None	None
G6205_RNA	mhpE	+	+	None	None
G6236_RNA	yajO	+	None	+	None
G6262_RNA	ybaT	+	None	+	None
G6324_RNA	ybdF	-	-	None	None
G6326_RNA	ybdK	+	None	+	None
G6331_RNA	ybdN	+	+	None	None
G6339_RNA	citG	-	-	None	None
G6340_RNA	citX	-	-	None	None
G6341_RNA	citF	-	-	None	None
G6342_RNA	citE	-	-	None	None
G6343_RNA	citD	-	-	None	None
G6344_RNA	citC	-	-	None	None
G6345_RNA	dpiB	both	both	None	None
G6346_RNA	dpiA	both	both	None	None
G6347_RNA	dcuC	+	+	None	None
G6351_RNA	ybeQ	-	-	None	None
G6358_RNA	rihA	+	+	None	None
G6370_RNA	chiP	+	+	None	None
G6393_RNA	zitB	-	-	None	None
G6394_RNA	ybgS	+	None	+	None
G6405_RNA	ybhN	+	None	+	None
G6406_RNA	clsB	+	None	+	None
G6407_RNA	ybhP	+	None	+	None
G6424_RNA	ybiU	-	-	None	None
G6450_RNA	ybjP	+	None	+	None
G6456_RNA	hcr	+	+	None	None
G6457_RNA	hcp	+	+	None	None
G6460_RNA	ybjX	-	-	None	None
G6463_RNA	clpS	-	-	None	None
G6464_RNA	ftsK	both	-	+	None
G6469_RNA	ycaP	+	None	+	None
G6476_RNA	ssuC	+	+	None	None
G6477_RNA	ssuD	+	+	None	None
G6479_RNA	ssuE	+	+	None	None
G6494_RNA	sxy	+	+	None	None
G6499_RNA	yccU	+	None	+	None
G6500_RNA	hspQ	-	-	None	None
G6517_RNA	rutG	+	+	None	None
G6518_RNA	rutF	+	+	None	None
G6519_RNA	rutE	+	+	None	None
G6521_RNA	rutC	+	+	None	None
G6542_RNA	ycdZ	both	both	None	None
G6543_RNA	csgG	+	+	+	None
G6544_RNA	csgF	+	+	+	None
G6545_RNA	csgE	both	both	+	None
G6546_RNA	csgD	both	both	+	None
G6557_RNA	bssS	-	-	None	None
G6558_RNA	dinI	-	-	None	None
G6573_RNA	lolC	-	-	None	None
G6600_RNA	iraM	+	+	None	None
G6606_RNA	ariR	+	None	+	None
G6619_RNA	hlyE	both	both	None	None
G6638_RNA	yciT	-	-	None	None
G6643_RNA	puuP	-	-	None	None
G6644_RNA	puuA	-	-	None	None
G6646_RNA	puuE	-	-	None	None
G6660_RNA	tpx	-	-	None	None
G6668_RNA	ynaJ	-	-	None	None
G6671_RNA	abgR	+	+	None	None
G6708_RNA	paaZ	+	+	None	None
G6709_RNA	paaA	+	+	None	None
G6710_RNA	paaB	+	+	None	None
G6711_RNA	paaC	both	both	None	None
G6712_RNA	paaD	+	+	None	None
G6713_RNA	paaE	+	+	None	None
G6714_RNA	paaF	+	+	None	None
G6715_RNA	paaG	+	+	None	None
G6716_RNA	paaH	+	+	None	None
G6717_RNA	paaI	+	+	None	None
G6718_RNA	paaJ	+	+	None	None
G6719_RNA	paaK	+	+	None	None
G6736_RNA	mokB	+	+	None	None
G6741_RNA	ydcK	+	None	+	None
G6742_RNA	ydcL	both	-	+	None
G6749_RNA	hicB	+	+	None	None
G6760_RNA	curA	+	None	+	None
G6762_RNA	pqqU	-	-	None	None
G6775_RNA	adhP	+	None	+	None
G6786_RNA	gadC	both	-	+	None
G6788_RNA	ydeN	-	-	None	None
G6789_RNA	ydeO	-	-	None	None
G6791_RNA	ydeP	both	both	None	None
G6798_RNA	lsrK	+	+	None	None
G6799_RNA	lsrR	+	+	None	None
G6800_RNA	lsrA	+	+	None	None
G6801_RNA	lsrC	+	+	None	None
G6802_RNA	lsrD	+	+	None	None
G6803_RNA	lsrB	+	+	None	None
G6804_RNA	lsrF	+	+	None	None
G6805_RNA	lsrG	+	+	None	None
G6806_RNA	tam	+	+	+	None
G6811_RNA	sad	-	-	None	None
G6815_RNA	ydfZ	+	+	None	None
G6822_RNA	ydfO	+	+	None	None
G6825_RNA	cspI	-	-	None	None
G6833_RNA	flxA	+	+	None	None
G6838_RNA	rspB	+	+	None	None
G6839_RNA	rspA	+	+	None	None
G6844_RNA	ynfD	+	None	+	None
G6845_RNA	ynfE	both	both	None	None
G6846_RNA	ynfF	both	both	None	None
G6847_RNA	ynfG	both	both	None	None
G6848_RNA	ynfH	both	both	None	None
G6849_RNA	dmsD	both	both	None	None
G6851_RNA	bidA	+	+	None	None
G6852_RNA	mlc	+	+	None	None
G6857_RNA	mdtI	-	-	None	None
G6858_RNA	mdtJ	-	-	None	None
G6860_RNA	ydgH	-	-	None	None
G6861_RNA	ydgI	-	-	None	None
G6863_RNA	ydgC	-	-	None	None
G6882_RNA	slyA	-	-	None	None
G6886_RNA	sodC	+	None	+	None
G6894_RNA	ydhQ	-	-	None	None
G6897_RNA	ydhT	+	+	None	None
G6898_RNA	ydhU	both	both	None	None
G6899_RNA	ydhX	+	+	None	None
G6900_RNA	ydhW	both	both	None	None
G6901_RNA	ydhV	both	both	None	None
G6902_RNA	ydhY	both	both	None	None
G6905_RNA	sufE	+	+	+	None
G6906_RNA	sufS	+	None	+	None
G6907_RNA	sufD	+	None	+	None
G6908_RNA	sufC	+	None	+	None
G6909_RNA	sufB	+	None	+	None
G6930_RNA	yniA	+	None	+	None
G6933_RNA	ydjM	-	-	None	None
G6937_RNA	cho	-	-	None	None
G6939_RNA	spy	+	+	None	None
G6940_RNA	astE	+	+	None	None
G6942_RNA	astD	+	+	None	None
G6943_RNA	astA	+	+	None	None
G6944_RNA	astC	+	+	None	None
G6955_RNA	ynjH	-	-	None	None
G6969_RNA	yeaG	+	None	+	None
G6970_RNA	yeaH	+	None	+	None
G6981_RNA	yeaQ	+	None	+	None
G6982_RNA	yoaG	both	both	None	None
G6983_RNA	yeaR	both	both	None	None
G6984_RNA	leuE	-	-	None	None
G6994_RNA	yoaC	+	None	+	None
G6995_RNA	yoaH	-	-	None	None
G7009_RNA	yebV	+	None	+	None
G7031_RNA	uspC	+	None	+	None
G7048_RNA	yedP	+	None	+	None
G7055_RNA	hchA	both	-	+	None
G7072_RNA	nac	-	-	None	None
G7113_RNA	mdtA	+	+	None	None
G7114_RNA	mdtB	+	+	None	None
G7115_RNA	mdtC	+	+	None	None
G7128_RNA	gatZ	+	+	None	None
G7129_RNA	fbaB	+	None	+	None
G7145_RNA	preT	+	+	None	None
G7152_RNA	yfaP	-	-	None	None
G7173_RNA	elaB	+	None	+	None
G7184_RNA	alaA	-	-	None	None
G7214_RNA	yfcZ	+	+	+	None
G7233_RNA	emrK	+	+	None	None
G7258_RNA	zipA	-	-	None	None
G7263_RNA	murQ	+	+	None	None
G7264_RNA	murP	+	+	None	None
G7280_RNA	yffS	+	+	None	None
G7300_RNA	hyfC	both	both	None	None
G7301_RNA	hyfD	both	both	None	None
G7302_RNA	hyfE	both	both	None	None
G7303_RNA	hyfF	both	both	None	None
G7304_RNA	hyfG	both	both	None	None
G7305_RNA	hyfH	both	both	None	None
G7306_RNA	hyfI	both	both	None	None
G7307_RNA	hyfJ	both	both	None	None
G7308_RNA	hyfR	both	both	None	None
G7309_RNA	focB	both	both	None	None
G7314_RNA	pdeF	+	+	None	None
G7329_RNA	csiE	+	+	None	None
G7347_RNA	rseC	both	both	+	None
G7348_RNA	rseB	both	-	+	None
G7394_RNA	glaH	+	+	None	None
G7396_RNA	yqaE	+	None	+	None
G7413_RNA	norV	both	both	None	None
G7414_RNA	hycI	+	+	None	None
G7425_RNA	cas1	both	both	None	None
G7426_RNA	casE	both	both	None	None
G7427_RNA	casD	both	both	None	None
G7428_RNA	casC	both	both	None	None
G7429_RNA	casB	+	+	None	None
G7430_RNA	casA	both	both	None	None
G7440_RNA	ygcW	+	+	None	None
G7457_RNA	mltA	+	+	None	None
G7464_RNA	yqeF	+	+	None	None
G7485_RNA	xdhA	+	+	None	None
G7486_RNA	xdhB	+	+	None	None
G7487_RNA	xdhC	+	+	None	None
G7489_RNA	ygeW	+	+	None	None
G7516_RNA	scpB	+	+	None	None
G7517_RNA	scpC	+	+	None	None
G7542_RNA	glcA	+	+	None	None
G7543_RNA	glcG	+	+	None	None
G7545_RNA	glcD	+	+	None	None
G7546_RNA	glcC	both	both	None	None
G7551_RNA	yghS	-	-	None	None
G7554_RNA	hybO	-	-	None	None
G7565_RNA	dkgA	+	None	+	None
G7595_RNA	aer	+	+	None	None
G7596_RNA	patA	+	None	+	None
G7615_RNA	yqjF	+	None	+	None
G7626_RNA	tdcF	+	+	None	None
G7627_RNA	tdcE	+	+	None	None
G7631_RNA	kbaZ	+	+	None	None
G7632_RNA	agaV	+	+	None	None
G7645_RNA	yraQ	+	+	None	None
G7647_RNA	yhbO	+	None	+	None
G7656_RNA	obgE	-	None	-	None
G7669_RNA	yhcC	-	-	None	None
G7675_RNA	nanQ	both	both	None	None
G7676_RNA	nanK	both	both	None	None
G7677_RNA	nanE	+	+	None	None
G7679_RNA	dcuD	+	+	None	None
G7684_RNA	yhcO	+	None	+	None
G7685_RNA	aaeB	+	+	None	None
G7686_RNA	aaeA	+	+	None	None
G7687_RNA	aaeX	+	+	None	None
G7701_RNA	gspA	-	-	None	None
G7702_RNA	gspC	-	-	None	None
G7703_RNA	gspD	-	-	None	None
G7704_RNA	gspE	-	-	None	None
G7705_RNA	gspF	-	-	None	None
G7706_RNA	gspG	-	-	None	None
G7707_RNA	gspH	-	-	None	None
G7708_RNA	gspI	-	-	None	None
G7709_RNA	gspJ	-	-	None	None
G7710_RNA	gspK	-	-	None	None
G7711_RNA	gspL	-	-	None	None
G7716_RNA	fkpA	+	None	+	None
G7736_RNA	hofP	+	+	None	None
G7737_RNA	hofO	+	+	None	None
G7738_RNA	hofN	+	+	None	None
G7739_RNA	hofM	+	+	None	None
G7740_RNA	nudE	-	-	None	None
G7745_RNA	yhgE	+	+	None	None
G7747_RNA	yhgH	+	+	None	None
G7748_RNA	nfuA	+	+	None	None
G7750_RNA	rtcA	+	+	None	None
G7751_RNA	rtcB	+	+	None	None
G7752_RNA	yzgL	-	-	None	None
G7789_RNA	dgoR	+	+	None	None
G7804_RNA	ysgA	both	-	+	None
G7826_RNA	dcuR	both	both	None	None
G7827_RNA	dcuS	both	both	None	None
G7832_RNA	fxsA	-	-	None	None
G7833_RNA	yjeH	-	-	None	None
G7837_RNA	blc	+	None	+	None
G7853_RNA	yjfP	-	-	None	None
G7855_RNA	ulaG	-	-	None	None
G7856_RNA	ulaA	+	+	None	None
G7858_RNA	ulaD	+	+	None	None
G7859_RNA	ulaE	both	both	None	None
G7860_RNA	ulaF	+	+	None	None
G7861_RNA	yjfY	+	None	+	None
G7864_RNA	ytfB	-	-	None	None
G7879_RNA	yjgH	+	None	+	None
G7891_RNA	idnR	+	+	None	None
G7892_RNA	idnO	+	+	None	None
G7893_RNA	idnD	+	+	None	None
G7910_RNA	yjhG	+	+	None	None
G7911_RNA	yjhH	+	+	None	None
G7913_RNA	sgcR	+	+	None	None
G7914_RNA	sgcE	+	+	None	None
G7915_RNA	sgcQ	+	+	None	None
G7920_RNA	nanM	+	+	None	None
G7921_RNA	nanC	+	+	None	None
G7923_RNA	iraD	+	None	+	None
G7936_RNA	yjiR	-	-	None	None
G7940_RNA	symE	-	-	None	None
G7946_RNA	yjjP	-	-	None	None
G7947_RNA	yjjQ	both	both	None	None
G7948_RNA	bglJ	-	-	None	None
G7961_RNA	feaB	+	+	None	None
G812_RNA	nrdG	both	both	None	None
G81_RNA	uxaC	+	+	None	None
G8210_RNA	srlA	+	+	None	None
M010_RNA	mhpA	+	+	None	None
M011_RNA	mhpB	+	+	None	None
M012_RNA	mhpC	+	+	None	None
M013_RNA	mhpD	+	+	None	None
M014_RNA	mhpF	+	+	None	None
RNA0-241	sgrS	+	None	+	None
RNA0-306	metV	-	None	-	None
RNA0-392	gadF	+	None	+	None
RRFA-RRNA	rrfA	-	None	-	None
RRFB-RRNA	rrfB	-	None	-	None
RRFC-RRNA	rrfC	-	None	-	None
RRFD-RRNA	rrfD	-	None	-	None
RRFE-RRNA	rrfE	-	None	-	None
RRFF-RRNA	rrfF	-	None	-	None
RRFG-RRNA	rrfG	-	None	-	None
RRFH-RRNA	rrfH	-	None	-	None
RRLA-RRNA	rrlA	-	None	-	None
RRLB-RRNA	rrlB	-	None	-	None
RRLC-RRNA	rrlC	-	None	-	None
RRLD-RRNA	rrlD	-	None	-	None
RRLE-RRNA	rrlE	-	None	-	None
RRLG-RRNA	rrlG	-	None	-	None
RRLH-RRNA	rrlH	-	None	-	None
RRSA-RRNA	rrsA	-	None	-	None
RRSB-RRNA	rrsB	-	None	-	None
RRSC-RRNA	rrsC	-	None	-	None
RRSD-RRNA	rrsD	-	None	-	None
RRSE-RRNA	rrsE	-	None	-	None
RRSG-RRNA	rrsG	-	None	-	None
RRSH-RRNA	rrsH	-	None	-	None
RUVA_RNA	ruvA	-	-	None	None
RUVB_RNA	ruvB	-	-	None	None
RYBB-RNA	rybB	+	None	+	None
alaT-tRNA	alaT	-	None	-	None
alaU-tRNA	alaU	-	None	-	None
alaV-tRNA	alaV	-	None	-	None
argX-tRNA	argX	-	None	-	None
glnU-tRNA	glnU	-	None	-	None
glnV-tRNA	glnV	-	None	-	None
glnW-tRNA	glnW	-	None	-	None
glnX-tRNA	glnX	-	None	-	None
gltT-tRNA	gltT	-	None	-	None
gltU-tRNA	gltU	-	None	-	None
gltV-tRNA	gltV	-	None	-	None
gltW-tRNA	gltW	-	None	-	None
glyT-tRNA	glyT	-	None	-	None
hisR-tRNA	hisR	-	None	-	None
ileT-tRNA	ileT	-	None	-	None
ileU-tRNA	ileU	-	None	-	None
ileV-tRNA	ileV	-	None	-	None
leuT-tRNA	leuT	-	None	-	None
leuV-tRNA	leuV	-	None	-	None
leuW-tRNA	leuW	-	None	-	None
leuX-tRNA	leuX	-	None	-	None
metT-tRNA	metT	-	None	-	None
metU-tRNA	metU	-	None	-	None
metW-tRNA	metW	-	None	-	None
metZ-tRNA	metZ	-	None	-	None
proK-tRNA	proK	+	+	None	None
proM-tRNA	proM	-	None	-	None
serW-tRNA	serW	-	None	-	None
thrT-tRNA	thrT	-	None	-	None
thrU-tRNA	thrU	-	None	-	None
thrV-tRNA	thrV	-	None	-	None
tyrT-tRNA	tyrT	-	None	-	None
tyrU-tRNA	tyrU	-	None	-	None
tyrV-tRNA	tyrV	-	None	-	None
