Generated by /user/home/ig13470/wholecell3/wcm2024/wcEcoli/runscripts/reflect/model_inspection.py on Wed Nov 13 18:20:05 2024
Gene	RNA ID	Monomer ID	Process
gcl	EG11583_RNA	GLYOCARBOLIG-MONOMER	Metabolism
gcvP	EG11810_RNA	GCVP-MONOMER	Metabolism
gcvT	EG11442_RNA	GCVT-MONOMER	Metabolism
gdhA	EG10372_RNA	GDHA-MONOMER	Metabolism
gdx	EG11616_RNA	SUGE-MONOMER	Metabolism
ghrA	G6539_RNA	G6539-MONOMER	Metabolism
ghrB	EG12272_RNA	MONOMER-43	Metabolism
ghxP	EG11939_RNA	EG11939-MONOMER	Metabolism
ghxQ	G7503_RNA	G7504-MONOMER	Metabolism
glaH	G7394_RNA	G7394-MONOMER	Metabolism
glcA	G7542_RNA	B2975-MONOMER	Metabolism
glcB	EG20080_RNA	MALSYNG-MONOMER	Metabolism
glcD	G7545_RNA	G7545-MONOMER	Metabolism
glcE	G7544_RNA	G7544-MONOMER	Metabolism
glcF	G0-8601_RNA	MONOMER0-561	Metabolism
gldA	EG11904_RNA	GLYCDEH-MONOMER	Metabolism
glf	EG11981_RNA	GALPMUT-MONOMER	Metabolism
glgC	EG10379_RNA	GLUC1PADENYLTRANS-MONOMER	Metabolism
glk	EG12957_RNA	GLUCOKIN-MONOMER	Metabolism
glmM	EG11553_RNA	PHOSGLUCOSAMINEMUT-MONOMER	Metabolism
glmS	EG10382_RNA	L-GLN-FRUCT-6-P-AMINOTRANS-MONOMER	Metabolism
glmU	EG11198_RNA	NAG1P-URIDYLTRANS-MONOMER	Metabolism
glnA	EG10383_RNA	GLUTAMINESYN-MONOMER	Metabolism
glnD	EG11411_RNA	GLND-MONOMER	Metabolism
glnE	EG11602_RNA	GLNE-MONOMER	Metabolism
glnH	EG10386_RNA	GLNH-MONOMER	Metabolism
glnP	EG10388_RNA	GLNP-MONOMER	Metabolism
glnQ	EG10389_RNA	GLNQ-MONOMER	Metabolism
glnS	EG10390_RNA	GLNS-MONOMER	Metabolism
gloA	G6891_RNA	GLYOXI-MONOMER	Metabolism
gloB	G6099_RNA	GLYOXII-MONOMER	Metabolism
gloC	G6475_RNA	G6475-MONOMER	Metabolism
glpA	EG10391_RNA	ANGLYC3PDEHYDROGSUBUNITA-MONOMER	Metabolism
glpB	EG10392_RNA	ANGLYC3PDEHYDROGSUBUNITB-MONOMER	Metabolism
glpC	EG10393_RNA	ANGLYC3PDEHYDROGSUBUNITC-MONOMER	Metabolism
glpD	EG10394_RNA	AERGLYC3PDEHYDROG-MONOMER	Metabolism
glpE	EG10395_RNA	EG10395-MONOMER	Metabolism
glpF	EG10396_RNA	GLPF-MONOMER	Metabolism
glpK	EG10398_RNA	GLYCEROL-KIN-MONOMER	Metabolism
glpQ	EG10399_RNA	GLYCPDIESTER-PERI-MONOMER	Metabolism
glpT	EG10401_RNA	GLPT-MONOMER	Metabolism
glpX	EG11517_RNA	EG11517-MONOMER	Metabolism
glsA	G6261_RNA	G6261-MONOMER	Metabolism
glsB	G6810_RNA	G6810-MONOMER	Metabolism
gltA	EG10402_RNA	CITSYN-MONOMER	Metabolism
gltB	EG10403_RNA	GLUSYNLARGE-MONOMER	Metabolism
gltD	EG10404_RNA	GLUSYNSMALL-MONOMER	Metabolism
gltI	G6359_RNA	G6359-MONOMER	Metabolism
gltJ	EG12661_RNA	GLTJ-MONOMER	Metabolism
gltK	EG12662_RNA	GLTK-MONOMER	Metabolism
gltL	EG12663_RNA	GLTL-MONOMER	Metabolism
gltP	EG10405_RNA	GLTP-MONOMER	Metabolism
gltS	EG10406_RNA	GLTS-MONOMER	Metabolism
gltX	EG10407_RNA	GLURS-MONOMER	Metabolism
gluQ	EG11362_RNA	EG11362-MONOMER	Metabolism
glxK	G6283_RNA	GLY3KIN-MONOMER	Metabolism
glxR	G6278_RNA	G6278-MONOMER	Metabolism
glyA	EG10408_RNA	GLYOHMETRANS-MONOMER	Metabolism
gmd	EG11787_RNA	GDPMANDEHYDRA-MONOMER	Metabolism
gmhA	G6106_RNA	G6106-MONOMER	Metabolism
gmhB	EG11736_RNA	EG11736-MONOMER	Metabolism
gmk	EG10965_RNA	GUANYL-KIN-MONOMER	Metabolism
gmm	EG11789_RNA	GDPMANMANHYDRO-MONOMER	Metabolism
gnd	EG10411_RNA	6PGLUCONDEHYDROG-MONOMER	Metabolism
gntK	EG12629_RNA	GLUCONOKINII-MONOMER	Metabolism
gntP	EG12563_RNA	GNTP-MONOMER	Metabolism
gntT	EG12380_RNA	GNTT-MONOMER	Metabolism
gntU	EG12631_RNA	GNTU-MONOMER	Metabolism
gor	EG10412_RNA	GLUTATHIONE-REDUCT-NADPH-MONOMER	Metabolism
gph	EG11871_RNA	GPH-MONOMER	Metabolism
gpmA	EG11699_RNA	GPMA-MONOMER	Metabolism
gpmM	EG12296_RNA	PGMI-MONOMER	Metabolism
gpp	EG10413_RNA	PPPGPPHYDRO-MONOMER	Metabolism
gpr	G7558_RNA	G7558-MONOMER	Metabolism
gpsA	EG20091_RNA	GLYC3PDEHYDROGBIOSYN-MONOMER	Metabolism
gpt	EG10414_RNA	GPT-MONOMER	Metabolism
groL	EG10599_RNA	EG10599-MONOMER	Metabolism
groS	EG10600_RNA	EG10600-MONOMER	Metabolism
grxA	EG10417_RNA	RED-GLUTAREDOXIN	Metabolism
grxB	EG12688_RNA	GRXB-MONOMER	Metabolism
grxC	EG12294_RNA	GRXC-MONOMER	Metabolism
gshA	EG10418_RNA	GLUTCYSLIG-MONOMER	Metabolism
gshB	EG10419_RNA	GLUTATHIONE-SYN-MONOMER	Metabolism
gsiA	G6429_RNA	YLIA-MONOMER	Metabolism
gsiB	G6430_RNA	YLIB-MONOMER	Metabolism
gsiC	G6431_RNA	YLIC-MONOMER	Metabolism
gsiD	G6432_RNA	YLID-MONOMER	Metabolism
gsk	EG11102_RNA	GSK-MONOMER	Metabolism
gspC	G7702_RNA	G7702-MONOMER	Metabolism
gspD	G7703_RNA	G7703-MONOMER	Metabolism
gspE	G7704_RNA	G7704-MONOMER	Metabolism
gspF	G7705_RNA	G7705-MONOMER	Metabolism
gspG	G7706_RNA	G7706-MONOMER	Metabolism
gspH	G7707_RNA	G7707-MONOMER	Metabolism
gspI	G7708_RNA	G7708-MONOMER	Metabolism
gspJ	G7709_RNA	G7709-MONOMER	Metabolism
gspK	G7710_RNA	G7710-MONOMER	Metabolism
gspL	G7711_RNA	G7711-MONOMER	Metabolism
gspM	EG12173_RNA	EG12173-MONOMER	Metabolism
gspO	EG11359_RNA	EG11359-MONOMER	Metabolism
gss	EG12882_RNA	GSP-MONOMER	Metabolism
guaA	EG10420_RNA	GMP-SYN-MONOMER	Metabolism
guaB	EG10421_RNA	IMP-DEHYDROG-MONOMER	Metabolism
guaC	EG10422_RNA	GMP-REDUCT-MONOMER	Metabolism
guaD	G7502_RNA	G7502-MONOMER	Metabolism
gudD	G7445_RNA	GLUCARDEHYDRA-MONOMER	Metabolism
gudP	G7447_RNA	B2789-MONOMER	Metabolism
gutQ	EG10973_RNA	EG10973-MONOMER	Metabolism
hcaB	G7335_RNA	PHENPRODIOLDEHYDROG-MONOMER	Metabolism
hcaC	G7334_RNA	HCAC-MONOMER	Metabolism
hcaD	G7336_RNA	HCAD-MONOMER	Metabolism
hcaE	M009_RNA	PHENYLPRODIOXY-MONOMER	Metabolism
hcaF	M015_RNA	HCAA2-MONOMER	Metabolism
hcaT	G7330_RNA	HCAT-MONOMER	Metabolism
hchA	G7055_RNA	G7055-MONOMER	Metabolism
hcp	G6457_RNA	G6457-MONOMER	Metabolism
hcr	G6456_RNA	G6456-MONOMER	Metabolism
hcxB	EG11581_RNA	EG11581-MONOMER	Metabolism
hda	G7313_RNA	G7313-MONOMER	Metabolism
hdhA	EG10425_RNA	7-ALPHA-HYDROXYSTEROID-DEH-MONOMER	Metabolism
hemA	EG10427_RNA	GLUTRNAREDUCT-MONOMER	Metabolism
hemB	EG10428_RNA	PORPHOBILSYNTH-MONOMER	Metabolism
hemC	EG10429_RNA	OHMETHYLBILANESYN-MONOMER	Metabolism
hemD	EG10430_RNA	UROGENIIISYN-MONOMER	Metabolism
hemE	EG11543_RNA	UROGENDECARBOX-MONOMER	Metabolism
hemF	EG12189_RNA	COPROGENOXI-MONOMER	Metabolism
hemG	EG11485_RNA	PROTOPORGENOXI-MONOMER	Metabolism
hemH	EG10431_RNA	PROTOHEME-FERROCHELAT-MONOMER	Metabolism
hemL	EG10432_RNA	GSAAMINOTRANS-MONOMER	Metabolism
hemN	EG11836_RNA	HEMN-MONOMER	Metabolism
hflC	EG10435_RNA	EG10435-MONOMER	Metabolism
hflK	EG10436_RNA	EG10436-MONOMER	Metabolism
hflX	EG10437_RNA	EG10437-MONOMER	Metabolism
hinT	EG12172_RNA	EG12172-MONOMER	Metabolism
hipA	EG10443_RNA	EG10443-MONOMER	Metabolism
hipB	EG10442_RNA	EG10442-MONOMER	Metabolism
hisA	EG10444_RNA	PRIBFAICARPISOM-MONOMER	Metabolism
hisB	EG10445_RNA	IMIDPHOSPHADEHYDHISTIDPHOSPHA-MONOMER	Metabolism
hisC	EG10446_RNA	HISTPHOSTRANS-MONOMER	Metabolism
hisD	EG10447_RNA	HISTDEHYD-MONOMER	Metabolism
hisF	EG10448_RNA	CYCLASE-MONOMER	Metabolism
hisG	EG10449_RNA	ATPPHOSRIBOSTRANS-MONOMER	Metabolism
hisH	EG10450_RNA	GLUTAMIDOTRANS-MONOMER	Metabolism
hisI	EG10451_RNA	HISTCYCLOPRATPPHOS	Metabolism
hisJ	EG12124_RNA	HISJ-MONOMER	Metabolism
hisM	EG10007_RNA	HISM-MONOMER	Metabolism
hisP	EG10452_RNA	HISP-MONOMER	Metabolism
hisQ	EG12125_RNA	HISQ-MONOMER	Metabolism
hisS	EG10453_RNA	HISS-MONOMER	Metabolism
hiuH	G7058_RNA	G7058-MONOMER	Metabolism
hldE	G7590_RNA	G7590-MONOMER	Metabolism
hmp	EG10456_RNA	EG10456-MONOMER	Metabolism
hns	EG10457_RNA	PD00288	Transcription Regulation
hpt	EG20098_RNA	HYPOXANPRIBOSYLTRAN-MONOMER	Metabolism
hscA	EG12130_RNA	EG12130-MONOMER	Metabolism
hslU	EG11881_RNA	EG11881-MONOMER	Metabolism
hslV	EG11676_RNA	EG11676-MONOMER	Metabolism
htpG	EG10461_RNA	EG10461-MONOMER	Metabolism
hxpA	G7187_RNA	G7187-MONOMER	Metabolism
hxpB	G6932_RNA	G6932-MONOMER	Metabolism
hyaA	EG10468_RNA	HYAA-MONOMER	Metabolism
hyaB	EG10469_RNA	HYAB-MONOMER	Metabolism
hyaC	EG10470_RNA	HYAC-MONOMER	Metabolism
hybA	EG11799_RNA	HYBA-MONOMER	Metabolism
hybB	EG11800_RNA	EG11800-MONOMER	Metabolism
hybC	EG11801_RNA	HYBC-MONOMER	Metabolism
hybO	G7554_RNA	MONOMER0-145	Metabolism
hycB	EG10475_RNA	HYCBSMALL-MONOMER	Metabolism
hycC	EG10476_RNA	HYCC-MONOMER	Metabolism
hycD	EG10477_RNA	HYCD-MONOMER	Metabolism
hycE	EG10478_RNA	HYCELARGE-MONOMER	Metabolism
hycF	EG10479_RNA	HYCF-MONOMER	Metabolism
hycG	EG10480_RNA	HYCG-MONOMER	Metabolism
hyi	G6277_RNA	G6277-MONOMER	Metabolism
hypA	EG10483_RNA	EG10483-MONOMER	Metabolism
hypB	EG10484_RNA	EG10484-MONOMER	Metabolism
hypC	EG10485_RNA	EG10485-MONOMER	Metabolism
hypD	EG10486_RNA	EG10486-MONOMER	Metabolism
hypE	EG10487_RNA	EG10487-MONOMER	Metabolism
hypF	EG11551_RNA	EG11551-MONOMER	Metabolism
iadA	G7925_RNA	G7925-MONOMER	Metabolism
iap	EG10488_RNA	EG10488-MONOMER	Metabolism
icd	EG10489_RNA	ISOCITDEH-SUBUNIT	Metabolism
idi	G7508_RNA	IPPISOM-MONOMER	Metabolism
idnD	G7893_RNA	IDONDEHYD-MONOMER	Metabolism
idnK	EG12152_RNA	GLUCONOKINI-MONOMER	Metabolism
idnO	G7892_RNA	GLUCONREDUCT-MONOMER	Metabolism
idnT	EG12539_RNA	YJGT-MONOMER	Metabolism
ihfA	EG10440_RNA	PD00347	Transcription Regulation
ihfB	EG10441_RNA	PD00348	Transcription Regulation
ileS	EG10492_RNA	ILES-MONOMER	Metabolism
ilvA	EG10493_RNA	THREDEHYDSYN-MONOMER	Metabolism
ilvB	EG10494_RNA	LARGEILVB-MONOMER	Metabolism
ilvC	EG10495_RNA	KETOLREDUCTOISOM-MONOMER	Metabolism
ilvD	EG10496_RNA	DIHYDROXYACIDDEHYDRAT-MONOMER	Metabolism
ilvE	EG10497_RNA	BRANCHED-CHAINAMINOTRANSFER-MONOMER	Metabolism
ilvH	EG10499_RNA	ACETOLACTSYNIII-HCHAIN-MONOMER	Metabolism
ilvI	EG10500_RNA	ACETOLACTSYNIII-ICHAIN-MONOMER	Metabolism
ilvM	EG10501_RNA	SMALLILVM-MONOMER	Metabolism
ilvN	EG10502_RNA	SMALLILVN-MONOMER	Metabolism
iscS	G7325_RNA	G7325-MONOMER	Metabolism
iscU	G7324_RNA	G7324-MONOMER	Metabolism
ispA	EG10508_RNA	FPPSYN-MONOMER	Metabolism
ispB	EG10017_RNA	OPPSYN-MONOMER	Metabolism
ispD	G7423_RNA	G7423-MONOMER	Metabolism
ispE	EG11294_RNA	EG11294-MONOMER	Metabolism
ispF	EG11816_RNA	EG11816-MONOMER	Metabolism
ispG	EG10370_RNA	EG10370-MONOMER	Metabolism
ispH	EG11081_RNA	EG11081-MONOMER	Metabolism
ispU	G6092_RNA	UPPSYN-MONOMER	Metabolism
katE	EG10509_RNA	HYDROPEROXIDII-MONOMER	Metabolism
katG	EG10511_RNA	HYDROPEROXIDI-MONOMER	Metabolism
kbaY	EG12768_RNA	TAGAALDOL1-MONOMER	Metabolism
kbl	EG10512_RNA	AKBLIG-MONOMER	Metabolism
kdgK	EG12253_RNA	DEOXYGLUCONOKIN-MONOMER	Metabolism
kdgT	EG11869_RNA	KDGT-MONOMER	Metabolism
kdpA	EG10513_RNA	EG10513-MONOMER	Metabolism
kdpB	EG10514_RNA	KDPB-MONOMER	Metabolism
kdpC	EG10515_RNA	EG10515-MONOMER	Metabolism
kdpF	G0-10439_RNA	MONOMER0-12	Metabolism
kdsA	EG10518_RNA	KDO-8PSYNTH-MONOMER	Metabolism
kdsB	EG10519_RNA	CPM-KDOSYNTH-MONOMER	Metabolism
kdsC	G7663_RNA	G7663-MONOMER	Metabolism
kdsD	G7662_RNA	G7662-MONOMER	Metabolism
kduD	EG12361_RNA	KDUD-MONOMER	Metabolism
kduI	G7463_RNA	G7463-MONOMER	Metabolism
kefB	EG20110_RNA	KEFB-MONOMER	Metabolism
kefC	EG10521_RNA	KEFC-MONOMER	Metabolism
kefF	EG11568_RNA	EG11568-MONOMER	Metabolism
kgtP	EG10522_RNA	KGTP-MONOMER	Metabolism
kup	EG11541_RNA	KUP-MONOMER	Metabolism
lacA	EG10524_RNA	GALACTOACETYLTRAN-MONOMER	Metabolism
lacY	EG10526_RNA	LACY-MONOMER	Metabolism
lacZ	EG10527_RNA	BETAGALACTOSID-MONOMER	Metabolism
lamB	EG10528_RNA	EG10528-MONOMER	Metabolism
ldcA	G6621_RNA	G6621-MONOMER	Metabolism
ldcC	G6094_RNA	LDC2-MONOMER	Metabolism
ldhA	G592_RNA	DLACTDEHYDROGNAD-MONOMER	Metabolism
ldtA	G7073_RNA	G7073-MONOMER	Metabolism
ldtB	G6422_RNA	G6422-MONOMER	Metabolism
ldtC	G6571_RNA	G6571-MONOMER	Metabolism
ldtD	EG11253_RNA	EG11253-MONOMER	Metabolism
ldtE	G6904_RNA	G6904-MONOMER	Metabolism
leuA	EG11226_RNA	2-ISOPROPYLMALATESYN-MONOMER	Metabolism
leuB	EG11577_RNA	3-ISOPROPYLMALDEHYDROG-MONOMER	Metabolism
leuC	EG11576_RNA	LEUC-MONOMER	Metabolism
leuD	EG11575_RNA	LEUD-MONOMER	Metabolism
leuE	G6984_RNA	G6984-MONOMER	Metabolism
leuO	EG10531_RNA	PD00519	Transcription Regulation
leuS	EG10532_RNA	LEUS-MONOMER	Metabolism
lexA	EG10533_RNA	PD00205	Transcription Regulation
lgoD	G7945_RNA	G7945-MONOMER	Metabolism
lgoT	EG12587_RNA	YJIZ-MONOMER	Metabolism
lgt	EG12128_RNA	EG12128-MONOMER	Metabolism
lhgD	EG12387_RNA	EG12387-MONOMER	Metabolism
lhr	EG11548_RNA	EG11548-MONOMER	Metabolism
ligA	EG10534_RNA	EG10534-MONOMER	Metabolism
ligB	EG11334_RNA	EG11334-MONOMER	Metabolism
lipA	EG11306_RNA	EG11306-MONOMER	Metabolism
lipB	EG11591_RNA	EG11591-MONOMER	Metabolism
livF	EG10536_RNA	LIVF-MONOMER	Metabolism
livG	EG10537_RNA	LIVG-MONOMER	Metabolism
livH	EG10538_RNA	LIVH-MONOMER	Metabolism
livJ	EG10539_RNA	LIVJ-MONOMER	Metabolism
livK	EG10540_RNA	LIVK-MONOMER	Metabolism
livM	EG10541_RNA	LIVM-MONOMER	Metabolism
lldD	EG11963_RNA	L-LACTDEHYDROGFMN-MONOMER	Metabolism
lldP	EG11961_RNA	LCTP-MONOMER	Metabolism
lnt	EG10168_RNA	EG10168-MONOMER	Metabolism
loiP	EG11291_RNA	EG11291-MONOMER	Metabolism
lolB	EG11293_RNA	EG11293-MONOMER	Metabolism
lolC	G6573_RNA	YCFU-MONOMER	Metabolism
lolD	G6574_RNA	YCFV-MONOMER	Metabolism
lolE	G6575_RNA	YCFW-MONOMER	Metabolism
lon	EG10542_RNA	EG10542-MONOMER	Metabolism
lpd	EG10543_RNA	E3-MONOMER	Metabolism
lplA	EG11796_RNA	EG11796-MONOMER	Metabolism
lplT	EG12455_RNA	EG12455-MONOMER	Metabolism
lptA	G7665_RNA	YHBN-MONOMER	Metabolism
lptB	EG11680_RNA	YHBG-MONOMER	Metabolism
lptC	G7664_RNA	G7664-MONOMER	Metabolism
lptD	EG11569_RNA	EG11569-MONOMER	Metabolism
lptE	EG10855_RNA	EG10855-MONOMER	Metabolism
lptF	G7888_RNA	G7888-MONOMER	Metabolism
lptG	G7889_RNA	G7889-MONOMER	Metabolism
lpxA	EG10545_RNA	UDPNACETYLGLUCOSAMACYLTRANS-MONOMER	Metabolism
lpxB	EG10546_RNA	LIPIDADISACCHARIDESYNTH-MONOMER	Metabolism
lpxC	EG10265_RNA	UDPACYLGLCNACDEACETYL-MONOMER	Metabolism
lpxD	EG10316_RNA	UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-MONO	Metabolism
lpxH	EG12666_RNA	EG12666-MONOMER	Metabolism
lpxK	EG11409_RNA	TETRAACYLDISACC4KIN-MONOMER	Metabolism
lpxL	EG10464_RNA	LAUROYLACYLTRAN-MONOMER	Metabolism
lpxM	EG10614_RNA	MYRISTOYLACYLTRAN-MONOMER	Metabolism
lpxP	G7241_RNA	PALMITOTRANS-MONOMER	Metabolism
lpxT	G7146_RNA	G7146-MONOMER	Metabolism
lrhA	EG12123_RNA	EG12123-MONOMER	Transcription Regulation
lrp	EG10547_RNA	PD00353	Transcription Regulation
lspA	EG10548_RNA	EG10548-MONOMER	Metabolism
lsrA	G6800_RNA	YDEX-MONOMER	Metabolism
lsrB	G6803_RNA	YNEA-MONOMER	Metabolism
lsrC	G6801_RNA	YDEY-MONOMER	Metabolism
lsrD	G6802_RNA	YDEZ-MONOMER	Metabolism
lsrF	G6804_RNA	G6804-MONOMER	Metabolism
lsrG	G6805_RNA	G6805-MONOMER	Metabolism
lsrK	G6798_RNA	G6798-MONOMER	Metabolism
ltaE	G6455_RNA	LTAA-MONOMER	Metabolism
luxS	EG12712_RNA	EG12712-MONOMER	Metabolism
lysA	EG10549_RNA	DIAMINOPIMDECARB-MONOMER	Metabolism
lysC	EG10550_RNA	ASPKINIII-MONOMER	Metabolism
lysO	G6458_RNA	G6458-MONOMER	Metabolism
lysP	EG11337_RNA	LYSP-MONOMER	Metabolism
lysS	EG10552_RNA	LYSS-MONOMER	Metabolism
lysU	EG10553_RNA	LYSU-MONOMER	Metabolism
lyxK	EG12284_RNA	LYXK-MONOMER	Metabolism
maa	G58_RNA	MALTACETYLTRAN-MONOMER	Metabolism
macA	G6461_RNA	MACA	Metabolism
macB	G6462_RNA	MACB	Metabolism
maeA	EG10948_RNA	MALIC-NAD-MONOMER	Metabolism
maeB	G7293_RNA	MALIC-NADP-MONOMER	Metabolism
mak	EG11288_RNA	EG11288-MONOMER	Metabolism
malE	EG10554_RNA	MALE-MONOMER	Metabolism
malF	EG10555_RNA	MALF-MONOMER	Metabolism
malG	EG10556_RNA	MALG-MONOMER	Metabolism
malK	EG10558_RNA	MALK-MONOMER	Metabolism
malP	EG10560_RNA	MALDEXPHOSPHORYL-MONOMER	Metabolism
malQ	EG10561_RNA	AMYLOMALT-MONOMER	Metabolism
malX	EG10563_RNA	MALX-MONOMER	Metabolism
malY	EG10564_RNA	EG10564-MONOMER	Metabolism
malZ	EG10565_RNA	MALTODEXGLUCOSID-MONOMER	Metabolism
manA	EG10566_RNA	MANNPISOM-MONOMER	Metabolism
manX	EG10567_RNA	MANX-MONOMER	Metabolism
manY	EG10568_RNA	MANY-MONOMER	Metabolism
manZ	EG10569_RNA	MANZ-MONOMER	Metabolism
map	EG10570_RNA	EG10570-MONOMER	Metabolism
mazG	EG10572_RNA	EG10572-MONOMER	Metabolism
mdaB	EG12656_RNA	EG12656-MONOMER	Metabolism
mdfA	G6440_RNA	CMR-MONOMER	Metabolism
mdh	EG10576_RNA	MALATE-DEHASE-MONOMER	Metabolism
mdtA	G7113_RNA	MDTA	Metabolism
mdtB	G7114_RNA	B2075-MONOMER	Metabolism
mdtC	G7115_RNA	B2076-MONOMER	Metabolism
mdtE	EG12240_RNA	EG12240-MONOMER	Metabolism
mdtF	EG12241_RNA	YHIV-MONOMER	Metabolism
mdtG	EG11343_RNA	YCEE-MONOMER	Metabolism
mdtI	G6857_RNA	B1599-MONOMER	Metabolism
mdtJ	G6858_RNA	B1600-MONOMER	Metabolism
mdtK	EG12400_RNA	YDHE-MONOMER	Metabolism
mdtL	EG11720_RNA	YIDY-MONOMER	Metabolism
mdtM	EG12576_RNA	YJIO-MONOMER	Metabolism
mdtN	EG11954_RNA	EG11954-MONOMER	Metabolism
mdtO	EG11953_RNA	YJCQ-MONOMER	Metabolism
mdtP	EG11952_RNA	EG11952-MONOMER	Metabolism
melA	EG10577_RNA	ALPHAGALACTOSID-MONOMER	Metabolism
melB	EG10578_RNA	MELB-MONOMER	Metabolism
menA	EG11880_RNA	DMK-MONOMER	Metabolism
menB	EG11368_RNA	NAPHTHOATE-SYN-MONOMER	Metabolism
menC	EG11532_RNA	O-SUCCINYLBENZOATE-COA-SYN-MONOMER	Metabolism
menD	EG10579_RNA	MEND-MONOMER	Metabolism
menE	EG12437_RNA	O-SUCCINYLBENZOATE-COA-LIG-MONOMER	Metabolism
menF	EG12362_RNA	MENF-MONOMER	Metabolism
menH	EG12438_RNA	EG12438-MONOMER	Metabolism
menI	G6912_RNA	G6912-MONOMER	Metabolism
mepA	EG10580_RNA	EG10580-MONOMER	Metabolism
mepH	G6892_RNA	G6892-MONOMER	Metabolism
mepK	G6474_RNA	G6474-MONOMER	Metabolism
mepM	EG10013_RNA	EG10013-MONOMER	Metabolism
mepS	G7147_RNA	G7147-MONOMER	Metabolism
metA	EG10581_RNA	HOMSUCTRAN-MONOMER	Metabolism
metB	EG10582_RNA	O-SUCCHOMOSERLYASE-MONOMER	Metabolism
metC	EG10583_RNA	CYSTATHIONINE-BETA-LYASE-MONOMER	Metabolism
metE	EG10584_RNA	HOMOCYSMET-MONOMER	Metabolism
metF	EG10585_RNA	METHYLENETHFREDUCT-MONOMER	Metabolism
metG	EG10586_RNA	METG-MONOMER	Metabolism
metH	EG10587_RNA	HOMOCYSMETB12-MONOMER	Metabolism
metI	EG11737_RNA	METI-MONOMER	Metabolism
metJ	EG10588_RNA	PD04032	Transcription Regulation
metK	EG10589_RNA	S-ADENMETSYN-MONOMER	Metabolism
metL	EG10590_RNA	ASPKINIIHOMOSERDEHYDROGII-MONOMER	Metabolism
metN	EG11621_RNA	ABC-MONOMER	Metabolism
metQ	EG11504_RNA	METQ-MONOMER	Metabolism
mglA	EG10592_RNA	MGLA-MONOMER	Metabolism
mglB	EG10593_RNA	MGLB-MONOMER	Metabolism
mglC	EG10594_RNA	MGLC-MONOMER	Metabolism
mgsA	G6497_RNA	METHGLYSYN-MONOMER	Metabolism
mgtA	EG12525_RNA	MGTA-MONOMER	Metabolism
mhpA	M010_RNA	MHPHYDROXY-MONOMER	Metabolism
mhpB	M011_RNA	DHPDIOXYGEN-MONOMER	Metabolism
mhpC	M012_RNA	MHPCHYDROL-MONOMER	Metabolism
mhpD	M013_RNA	MHPDHYDROL-MONOMER	Metabolism
mhpE	G6205_RNA	MHPELY-MONOMER	Metabolism
mhpF	M014_RNA	MHPF-MONOMER	Metabolism
mhpT	G6206_RNA	MHPT-MONOMER	Metabolism
miaA	EG10595_RNA	EG10595-MONOMER	Metabolism
miaB	G6364_RNA	G6364-MONOMER	Metabolism
mltB	G7410_RNA	G7410-MONOMER	Metabolism
mltC	G7533_RNA	G7533-MONOMER	Metabolism
mltD	EG10246_RNA	EG10246-MONOMER	Metabolism
mltG	EG11494_RNA	EG11494-MONOMER	Metabolism
mmuM	G6136_RNA	MMUM-MONOMER	Metabolism
mmuP	G6135_RNA	B0260-MONOMER	Metabolism
mnaT	G6759_RNA	G6759-MONOMER	Metabolism
mngA	EG13235_RNA	HRSA-MONOMER	Metabolism
mngB	EG13236_RNA	EG13236-MONOMER	Metabolism
mnmA	EG11344_RNA	EG11344-MONOMER	Metabolism
mnmC	G7199_RNA	G7199-MONOMER	Metabolism
mnmE	EG10997_RNA	EG10997-MONOMER	Metabolism
mnmG	EG10375_RNA	EG10375-MONOMER	Metabolism
mntH	G7254_RNA	YFEP-MONOMER	Metabolism
mntP	G6999_RNA	G6999-MONOMER	Metabolism
moaA	EG11595_RNA	EG11595-MONOMER	Metabolism
moaC	EG11666_RNA	EG11666-MONOMER	Metabolism
moaD	EG11597_RNA	EG11597-MONOMER	Metabolism
moaE	EG11598_RNA	EG11598-MONOMER	Metabolism
mobA	EG11829_RNA	EG11829-MONOMER	Metabolism
mocA	G7496_RNA	G7496-MONOMER	Metabolism
modA	EG12427_RNA	MODA-MONOMER	Metabolism
modB	EG10002_RNA	MODB-MONOMER	Metabolism
modC	EG10152_RNA	MODC-MONOMER	Metabolism
moeA	EG10153_RNA	EG10153-MONOMER	Metabolism
moeB	EG10154_RNA	EG10154-MONOMER	Metabolism
mog	EG11511_RNA	EG11511-MONOMER	Metabolism
mpaA	G6662_RNA	G6662-MONOMER	Metabolism
mpl	EG12440_RNA	EG12440-MONOMER	Metabolism
mppA	G6665_RNA	G6665-MONOMER	Metabolism
mqo	EG12069_RNA	EG12069-MONOMER	Metabolism
mraY	EG10604_RNA	PHOSNACMURPENTATRANS-MONOMER	Metabolism
mrcA	EG10748_RNA	EG10748-MONOMER	Metabolism
mrdA	EG10606_RNA	EG10606-MONOMER	Metabolism
msbA	EG10613_RNA	EG10613-MONOMER	Metabolism
msrA	EG11433_RNA	EG11433-MONOMER	Metabolism
msrB	EG12394_RNA	EG12394-MONOMER	Metabolism
msrC	G7005_RNA	G7005-MONOMER	Metabolism
msrP	G7059_RNA	G7059-MONOMER	Metabolism
msrQ	G7060_RNA	G7060-MONOMER	Metabolism
mtfA	G7063_RNA	G7063-MONOMER	Metabolism
